Компания,Отрасль,Сайт,Целевая роль,ЛПР,Телефоны,Emails,Соцсети,Приоритет,Статус
БСБ Банк,Банки,bsb.by,Зам. по цифровизации / IT-директор,Председатель правления — Дубков С.В.,+375 17 306-20-40; +375 29 306-20-40; +375 33 306-20-40,info@bsb.by,,A,собран
Статусбанк,Банки,stbank.by,Зам. по цифровизации / IT-директор,Председатель правления — Филякин А.; Заместитель председателя правления — Кожевников Д.,+375 17 303-00-00; +375 25 712-00-00; +375 29 712-00-00; +375 44 712-00-00; +375 29 303-00-00,info@stbank.by; kontakt@stbank.by,,A,собран
Белгосстрах,Страхование,bgs.by,IT-директор / директор по операциям,Генеральный директор — Якубицкий С.Л.; Первый зам. генерального директора — Орещенко Ю.Г.,+375 17 269-26-00; +375 17 269-26-92; 7557; +375 17 308-27-27; +375 17 373-86-08; +375 17 250-90-34; +375 17 219-47-77,info@bgs.by,,B,собран
Белэксимгарант,Страхование,eximgarant.by,IT-директор / директор по операциям,Генеральный директор — Ермошко В.Ю.,+375 17 371-00-60; +375 17 227-45-72; +375 17 399-10-35; +375 17 323-13-00; +375 17 305-65-63; +375 17 249-25-91; +375 44 700-08-65; +375 17 356-99-27; +375 17 306-38-16; +375 17 399-08-24,info@eximgarant.by; minsk@eximgarant.by; modvs@eximgarant.by,,B,собран
Белнефтестрах,Страхование,bns.by,IT-директор / директор по операциям,Генеральный директор — Чайчиц А.Н.,+375 17 226-78-88; +375 17 203-24-55; +375 17 336-51-21,insurance@bns.by,,B,собран
ТАСК,Страхование,task.by,IT-директор / директор по операциям,Генеральный директор — Волков И.И.,+375 17 363-24-02; +375 17 365-10-66; +375 17 365-10-63; +375 29 112-21-13; +375 17 365-11-66; +375 17 373-11-75; +375 17 358-10-86; +375 17 365-15-52; +375 29 195-95-98; +375 17 365-12-04,office@task.by,,B,собран
Промтрансинвест,Страхование,promtransinvest.by,IT-директор / директор по операциям,Генеральный директор — Ефременко В.А.,+375 17 311-48-88; 128; +375 17 311-48-78; +375 17 270-77-77; +375 17 228-12-48,inform@promtransinvest.by,,B,собран
Стравита,Страхование,stravita.by,IT-директор / директор по операциям,Генеральный директор — Андриевич С.В.,+375 17 270-76-44; 7644; +375 17 200-65-39; +375 17 200-65-38; +375 29 355-10-20,info@stravita.by,,B,собран
Белоруснефть,АЗС / Топливо,belorusneft.by,Коммерческий директор / директор по рознице,Генеральный директор — Ляхов А.А.; Зам. генерального директора по обеспечению углеводородным сырьем и реализации продукции — Каморников С.С.,+375 232 79-34-76; +375 232 79-34-65; +375 232 79-33-57; +375 232 79-36-72; +375 232 79-35-62; +375 232 79-35-64; +375 232 79-33-35; +375 232 33-85-14; +375 232 79-34-35; +375 232 23-75-75; +375 17 279-92-00; +375 17 279-92-95; +375 17 279-94-79; +375 17 279-94-77; +375 33 643-14-31,contact@beloil.by; gomelonp@beloil.by; gomel-trade@beloil.by,,A,собран
Лукойл Белоруссия,АЗС / Топливо,lukoil.by,Коммерческий директор / директор по рознице,Генеральный директор — Попов Д.,+375 17 208-98-00; +375 17 208-98-01; +375 17 208-98-99; +375 17 208-98-88; +375 44 500-98-09,info@lukoil.by; rrc@lukoil.by; customer@club-lukoil.by,,A,собран
Газпромнефть-Белнефтепродукт,АЗС / Топливо,azs.gazprom-neft.by,Коммерческий директор / директор по рознице,Директор — Браташ А.Н.,+375 17 229-94-00; +375 17 229-94-11; +375 17 239-06-09,mail@gazprom-neft.by,,A,собран
А-100 (Астотрейдинг),АЗС / Топливо,a-100.by,Коммерческий директор / директор по рознице,Директор — Ахметгалимов А.Ф.; Собственник группы компаний — Центер А.,+375 17 233-33-33; +375 29 623-33-33; +375 29 773-30-33; +375 44 500-44-73; +375 29 333-29-48,info-azs@a-100.by; fuel@a-100.by; marketing@a-100.by; assist@a-100.by; nf-azs@a-100.by; fin-azs@a-100.by; a-100@a-100.by,,A,собран
РН-Запад (Роснефть/Славнефть),АЗС / Топливо,rn-west.by,Коммерческий директор / директор по рознице,Директор — Рустамов С.,+375 17 259-68-00; +375 17 259-68-68; +375 17 350-21-33; 8 801 100 7111,,,A,частично
Татбелнефтепродукт (Татнефть),АЗС / Топливо,tatbelneft.by,Коммерческий директор / директор по рознице,,+375 17 310-13-78; +375 17 234-92-16; +375 29 687-70-23,info@tatbelneft.by; oskl@tatbelneft.by; ldv@tatbelneft.by; ok-tbnp@tatbelneft.by,,A,собран
Бел Фуд Сервис,HoReCa,invest.belfs.by,Операционный директор / собственник,Генеральный директор — Дутин С.; Руководитель управления сервиса и операционной деятельности — Луцевич Д.,+375 17 308-78-53; +375 17 203-13-58; +375 17 313-10-91,,,A,частично
КреативФудС-Восток,HoReCa,kfc-vostok.by,Операционный директор / собственник,Генеральный директор — Бачурко Ю.,+375 44 561-73-05; +375 17 336-55-76; +375 29 647-07-63; +375 29 647-07-05; +375 29 647-07-60; +375 29 647-07-34,info@kfc-vostok.by,,A,собран
Урбан Снэки (Cofix),HoReCa,cofix.global,Операционный директор / собственник,Основатель и совладелец — Дутин С.,+375 29 639-25-22; +375 44 566-48-85; +375 29 164-41-76; +375 29 164-42-11; +375 29 689-25-21; +375 29 164-41-32; +375 29 164-40-73; +375 29 689-25-38; +375 29 689-25-41,info@cofix.by,,A,собран
Varka,HoReCa,varkacoffee.by,Операционный директор / собственник,Сооснователь — Нестеров Н.; Сооснователь — Шостак А.,+375 44 521-44-58,varka.coffee.rb@gmail.com; arendavarka@gmail.com,,A,собран
Хотфикс,HoReCa,hotfixcafe.by,Операционный директор / собственник,Операционный директор — Томас Ф.,+375 29 144-35-11; +375 29 610-79-47; +375 44 523-39-66; +375 29 134-28-04; +375 44 554-46-96; +375 29 394-79-68,info@hotfixcafe.by,,A,собран
А1,Телеком,a1.by,Директор по развитию / CIO,Генеральный директор — Дуз Г.; Заместитель генерального директора по развитию корпоративного сегмента и ИКТ — Дашян Р.,+375 17 330-30-30; +375 17 330-33-03; +375 17 217-84-92; +375 17 237-98-98; +375 29 600-02-25; +375 29 100-04-21; 150,corp@a1.by; legal@a1.by; 150@a1.by; voka@a1.by; otp@a1.by; sd@a1digital.by,,A,собран
МТС (Беларусь),Телеком,mts.by,Директор по развитию / CIO,Генеральный директор — Козырь В.; Заместитель генерального директора по информационным технологиям — Примаков А.В.,+375 17 237-98-95; 0990,corporate@mts.by; help@mts.by,,A,собран
life:),Телеком,life.com.by,Директор по развитию / CIO,Генеральный директор — Яйла Э.; Заместитель генерального директора по маркетингу — Алтунташ М.,+375 17 259-22-22; +375 25 909-09-09; +375 25 909-00-19; +375 25 909-00-21; +375 25 909-00-24; +375 25 909-00-23; +375 25 909-00-20; +375 25 909-00-22; 909,corp@life.com.by,,A,собран
Белтелеком,Телеком,beltelecom.by,Директор по развитию / CIO,Генеральный директор — Кенда А.; Заместитель генерального директора по цифровому развитию и ИТ — Буйницкий С.А.,+375 17 217-10-05; +375 17 217-10-06; +375 17 217-12-21; +375 232 20-22-72; +375 232 29-67-73; +375 232 29-67-78; +375 232 29-67-74; +375 232 29-68-66; +375 232 38-10-32; 123,info@main.beltelecom.by; gala@gomel.beltelecom.by; info@gomel.beltelecom.by; ul_gyd@gomel.beltelecom.by,,A,собран
beCloud,Телеком,becloud.by,Директор по развитию / CIO,Генеральный директор — Седельник О.Н.; Заместитель генерального директора по техническим вопросам - главный инженер — Лобанов И.А.,+375 17 287-11-11; +375 17 287-11-49; +375 17 327-72-77,info@becloud.by,,A,собран
EPAM,IT,epam.com,Директор по развитию / CTO,Основатель и председатель совета директоров — Добкин А.М.; Генеральный директор (CEO) — Фейеш Б.,+375 17 389-01-00; +375 17 210-16-62,info@epam.com,,B,собран
Itransition,IT,itransition.com,Директор по развитию / CTO,Генеральный директор (CEO) — Демичев А.; Основатель и председатель совета директоров — Гвардейцев С.,+375 17 300-40-04; +375 29 197-01-51; +375 29 782-32-17,info@itransition.com,,B,собран
Intetics,IT,intetics.com,Директор по развитию / CTO,Основатель и президент (CEO) — Концевой Б.,+1 239 217-49-07,intetics@intetics.com,,B,собран
SoftClub,IT,softclub.by,Директор по развитию / CTO,Генеральный директор — Сиротко В.Г.,+375 17 279-33-00,office@softclub.by,,B,собран
IBA Group,IT,iba.by,Директор по развитию / CTO,Основатель и председатель совета директоров — Левтеев С.В.,+375 17 217-53-00; +375 17 318-09-82; +375 17 318-24-82; +375 17 318-09-15; +375 17 217-39-12; +375 17 217-33-33; +375 17 269-77-99; +375 17 208-39-99; +375 17 269-77-77,info@iba.by; info@ibaitpark.com,,B,собран
Sam Solutions,IT,sam-solutions.com,Директор по развитию / CTO,Генеральный директор (CEO) — Ховренков П.; Основатель — Бахирев А.В.,+49 8105 399050; +375 17 309-17-09,info@sam-solutions.com,,B,собран
ISsoft,IT,coherentsolutions.com,Директор по развитию / CTO,Сооснователь и генеральный директор — Шнеерсон А.В.,+375 17 396-61-61; +375 17 235-51-18,info@issoft.by,,B,собран
Belhard,IT,belhard.com,Директор по развитию / CTO,Генеральный директор и сооснователь — Мамоненко И.В.,+375 29 220-84-26; +375 17 226-84-26; +375 33 346-84-26; +375 29 153-84-26; +375 25 543-84-26; +375 17 243-84-26; 7085,office@belhard.com; info@belhard.com,,B,собран
Godel Technologies,IT,godeltech.com,Директор по развитию / CTO,Генеральный директор (CEO) — Эйнсворт Г.,+375 17 373-69-11; +375 17 328-17-34; +375 44 762-10-81,hello@godeltech.com; info@godeltech.com,,B,собран
Andersen,IT,andersenlab.com,Директор по развитию / CTO,Основатель и генеральный директор (CEO) — Хомич А.,+375 17 388-40-22,info@andersenlab.com; marketing.departm@andersenlab.com,https://www.instagram.com/andersencompany/,B,собран
iTechArt,IT,itechart.com,Директор по развитию / CTO,Сооснователь и генеральный директор (CEO) — Коваленко С.,+1 718 374-50-43; +44 20 7117-28-42; +1 732 734-65-25,,https://ru.linkedin.com/company/itechart,B,частично
SoftSwiss,IT,softswiss.com,Директор по развитию / CTO,Основатель и генеральный директор — Монтик И.; Со-генеральный директор — Старовойтов А.,+375 29 750-86-23; +375 44 778-21-25; +375 33 378-80-80,info@softswiss.com; order@softswiss.com,,B,собран
Wargaming,IT,wargaming.com,Директор по развитию / CTO,Основатель и генеральный директор (CEO) — Кислый В.,,press@wargaming.net,,B,частично
ScienceSoft,IT,scnsoft.com,Директор по развитию / CTO,Генеральный директор (CEO) — Кураев Н.,+1 214 306-68-37; +48 22 162-18-13,contact@scnsoft.com; eu@scnsoft.com,,B,собран
Apalon,IT,apalon.com,Директор по развитию / CTO,,,contact@apalon.com; info@apalon.com,https://m.facebook.com/apalon/; https://ru.linkedin.com/company/apalon,B,частично
Gismart,IT,gismart.com,Директор по развитию / CTO,Сооснователь и генеральный директор (CEO) — Липницкий Д.; Сооснователь и технический директор (CTO) — Минец А.,+44 20 3287-30-01; +375 29 333-73-54,info@gismart.com,,B,собран
PandaDoc,IT,pandadoc.com,Директор по развитию / CTO,Генеральный директор (CEO) — Рабкин К.; Сооснователь и директор по продукту (CPO) — Микадо М.,+1 800 274-96-94; +1 888 865-87-55; +1 800 674-29-74,info@pandadoc.com; support@pandadoc.com; press@pandadoc.com,https://ru.linkedin.com/company/pandadoc,B,собран
БЕЛАЗ,Машиностроение,belaz.by,Директор по цифровизации / IT-директор,Генеральный директор — Лесин С.И.,+375 1775 27-77-70; +375 1775 27-47-4; +375 1775 27-27-2; +375 1775 27-80-3; +375 1775 27-81-6; +375 1775 70-89-8; +375 1775 58-88-1,office@belaz.minsk.by; bs@belaz-s.by,,B,собран
МАЗ,Машиностроение,maz.by,Директор по цифровизации / IT-директор,Генеральный директор — Иванкович В.В.,+375 17 217-22-22; +375 17 217-98-09; +375 17 217-96-01; +375 17 217-96-20; +375 17 358-68-79; +375 17 374-05-55; +375 17 274-17-03; +375 44 700-03-21,rb@maz.by; ssc@maz.by,,B,собран
МТЗ (Беларус),Машиностроение,belarus-tractor.com,Директор по цифровизации / IT-директор,Генеральный директор — Мурог Т.,+375 17 246-60-09; +375 17 333-49-44; +375 17 333-49-45; +375 17 333-49-46; +375 17 333-49-48; +375 17 333-04-11; +375 17 333-04-14; +375 17 333-01-52; +375 17 333-01-59; +375 17 333-01-56,sales@mtz.by; tdmtz@mtz.by,,B,собран
Гомсельмаш,Машиностроение,gomselmash.by,Директор по цифровизации / IT-директор,Генеральный директор — Шелег В.,+375 232 63-90-66; +375 232 59-22-10; +375 232 54-24-66; +375 232 59-21-36; +375 232 54-97-69; +375 232 59-23-02; +375 232 59-10-31; +375 232 54-67-64,post@gomselmash.by,,B,собран
МЗКТ,Машиностроение,mzkt.by,Директор по цифровизации / IT-директор,Генеральный директор — Римашевский А.И.,+375 17 330-17-09; +375 17 291-31-85; +375 17 291-31-78; +375 17 291-31-92; +375 17 291-31-93,link@mzkt.by; volat@mzkt.by,,B,собран
Минский моторный завод,Машиностроение,mmz-motor.by,Директор по цифровизации / IT-директор,Генеральный директор — Ботвинник А.,+375 17 218-31-09; +375 17 218-31-34; +375 17 218-31-21,kanc@mmz-motor.by,,B,собран
Амкодор,Машиностроение,amkodor.by,Директор по цифровизации / IT-директор,Генеральный директор — Ефимов А.В.,+375 17 308-33-00; +375 17 308-32-75; +375 17 308-32-88; +375 17 308-32-34,kanz@amkodor.by; amkodor-mash@amkodor.by,,B,собран
Белкоммунмаш,Машиностроение,holdingbkm.com,Директор по цифровизации / IT-директор,Генеральный директор — Быцко О.В.,+375 17 346-80-03; +375 17 295-41-32; +375 17 210-50-55,info@belcommunmash.by,,B,собран
Бобруйскагромаш,Машиностроение,bobruiskagromach.com,Директор по цифровизации / IT-директор,Генеральный директор — Корсак О.А.,+375 225 72-40-92; +375 225 43-45-52; +375 225 72-41-12; +375 225 72-41-40; +375 225 72-41-94; +375 225 44-29-11; +375 225 44-96-96; +375 225 44-27-54; +375 225 43-60-77,info@agromash.by; sbit@agromash.by; market@agromash.by,,B,собран
БелОМО,Машиностроение,belomo.by,Директор по цифровизации / IT-директор,Генеральный директор — Мороз А.И.,+375 17 272-41-01; +375 17 348-44-71; +375 17 215-11-21; +375 17 325-44-70; +375 17 373-91-88; +375 17 215-23-01,belomo@belomo.by,,B,собран
Атлант,Электроника / бытовая техника,atlant.by,Директор по цифровизации / IT-директор,Генеральный директор — Хаританчик Д.,+375 17 218-60-45; +375 17 218-64-98,info@atlant.by; opt@td.atlant.by,,B,собран
Горизонт,Электроника / бытовая техника,horizont.by,Директор по цифровизации / IT-директор,Генеральный директор — Предко Ю.И.,+375 17 226-36-01; +375 17 226-34-76; +375 17 228-19-60; +375 17 228-20-14; +375 17 228-09-52; +375 17 374-83-49; +375 17 397-37-38,zebt@horizont.by; service@horizont.by,,B,собран
Гефест (Брестгазоаппарат),Электроника / бытовая техника,gefest.by,Директор по цифровизации / IT-директор,Генеральный директор — Кузьминчук В.,+375 162 27-66-77; +375 162 27-64-28; +375 162 27-64-51; +375 162 27-64-52; +375 162 27-67-10; +375 162 27-67-90,servis.vnf@gefest.org,,B,собран
Интеграл,Электроника / бытовая техника,integral.by,Директор по цифровизации / IT-директор,Генеральный директор — Буйневич А.,+375 17 224-60-51; +375 17 302-14-51; +375 17 398-75-13,office@integral.by,,B,собран
Витязь,Электроника / бытовая техника,vityas.com,Директор по цифровизации / IT-директор,Генеральный директор — Азаров Г.П.,+375 212 26-49-35; +375 212 26-52-13,tv@vityas.com,,B,собран
Белорусский металлургический завод,Металлургия / химия,belsteel.com,Директор по операциям / IT-директор,Генеральный директор — Сакович А.,+375 2334 54-520; +375 2334 42-728; +375 2334 55-945; +375 2334 56-615; +375 2334 56-957; +375 2334 55-391,ofwork@bmz.gomel.by,,B,собран
Концерн Белнефтехим,Металлургия / химия,belneftekhim.by,Директор по операциям / IT-директор,Председатель концерна — Икан И.В.; Заместитель председателя — Боярин А.А.,+375 17 277-29-02; +375 17 269-01-01; +375 17 277-10-08,koncbnx@belneftekhim.by,,B,собран
Белшина,Металлургия / химия,belshina.by,Директор по операциям / IT-директор,Генеральный директор — Сойко А.В.,+375 225 70-89-50; +375 225 41-12-21; +375 225 70-94-65; +375 225 70-91-00; +375 225 41-15-65; +375 225 41-06-12; +375 225 41-08-54; +375 2241 54-640,belshina@belshina.by,,B,собран
Беларуськалий,Металлургия / химия,kali.by,Директор по операциям / IT-директор,Генеральный директор — Рыбаков А.А.,+375 174 29-86-08; +375 174 22-40-35; +375 174 22-20-20; +375 174 23-71-65; +375 174 26-37-65; +375 174 26-38-33; +375 17 324-42-39,belaruskali.office@kali.by,,B,собран
Нафтан,Металлургия / химия,naftan.by,Директор по операциям / IT-директор,Генеральный директор — Жебин О.,+375 214 59-82-57; +375 214 59-88-88; +375 214 59-80-00,naftan@naftan.by,,B,собран
Гродно Азот,Металлургия / химия,azot.by,Директор по операциям / IT-директор,Генеральный директор — Ляшенко И.,+375 152 79-46-50; +375 152 74-52-44; +375 152 79-40-45; +375 152 79-48-55; +375 152 79-54-59; +375 152 79-43-31; +375 152 79-45-32; +375 152 72-12-46; +375 29 319-33-59,oao@azot.com.by,,B,собран
Могилёвхимволокно,Металлургия / химия,khimvolokno.by,Директор по операциям / IT-директор,Генеральный директор — Курилин О.,+375 222 49-90-09; +375 222 74-60-01; +375 222 49-91-17; +375 222 76-40-11; +375 222 76-40-12; +375 222 49-99-71; +375 222 49-99-57; +375 222 49-99-82; +375 222 49-99-39; +375 222 49-96-50; +375 222 49-99-51; +375 222 49-92-93; +375 222 49-92-77; +375 222 49-99-06; +375 222 49-92-40,mogilev@khimvolokno.by; opsp@khimvolokno.by; invest@khimvolokno.by; volokno@khimvolokno.by; netkanka@khimvolokno.by; forwarder@khimvolokno.by; petf@khimvolokno.by,,B,собран
СветлогорскХимволокно,Металлургия / химия,sohim.by,Директор по операциям / IT-директор,Генеральный директор — Осипенко В.В.; Заместитель генерального директора по коммерческим вопросам — Веренич Д.А.,+375 2342 48-377; +375 2342 48-180; +375 2342 95-409; +375 2342 37777; +375 2342 94-850,sohim@sohim.by; spunbond@sohim.by,,B,собран
Лакокраска (Лида),Металлургия / химия,lidalkm.by,Директор по операциям / IT-директор,Директор — Гурчин А.,+375 154 53-84-30; +375 154 53-85-85; +375 29 300-33-88; +375 33 300-33-66; +375 29 338-89-61; +375 29 338-82-79; +375 29 338-84-43,support@lidalkm.by; ved@lidalkm.by; lkm.exp@lidalkm.by; lack.exp@lidalkm.by,,B,собран
Красносельскстройматериалы,Стройматериалы,cementby.by,Директор по операциям / IT-директор,Генеральный директор — Голда А.В.,+375 1512 6-10-71; +375 1512 3-76-60; +375 1512 3-76-51,info@cementby.by,,B,собран
Кричевцементношифер,Стройматериалы,kcsh.by,Директор по операциям / IT-директор,Генеральный директор — Гамуленко А.А.,+375 2241 2-09-09; +375 2241 2-09-11,kcsh@kcsh.by; prim@kcsh.by,,B,собран
Белорусский цементный завод,Стройматериалы,belcement.by,Директор по операциям / IT-директор,Генеральный директор — Сергеев И.О.,+375 2245 7-26-50,info@belcement.by,,B,собран
Гомельстекло,Стройматериалы,gomelglass.by,Директор по операциям / IT-директор,Генеральный директор — Максимчиков П.А.,+375 232 94-34-76; +375 232 94-33-99; +375 232 92-72-49; +375 232 92-70-95; +375 232 92-71-00; +375 232 92-70-43; +375 232 92-74-73; +375 232 92-70-07,post@gomelglass.by,,B,собран
Гомельстройматериалы,Стройматериалы,oaogsm.by,Директор по операциям / IT-директор,Генеральный директор — Жеромский С.Ф.,+375 232 59-50-06; +375 232 59-52-17; +375 232 59-50-96; +375 232 59-51-56; +375 232 59-51-19; +375 29 377-4-800; +375 29 377-4-900; +375 44 524-77-77,otmarket@gstrmat.by; info@gstrmat.by,,B,собран
БелГипс,Стройматериалы,belgips.by,Директор по операциям / IT-директор,Директор — Бабкин А.,+375 17 543-59-28; +375 17 543-59-08; +375 17 294-80-64; +375 17 294-13-77; +375 29 358-76-06,info@knauf.by; magazin@belgips.by,,B,собран
Керамин,Стройматериалы,keramin.by,Директор по операциям / IT-директор,,+375 17 219-26-00; +375 17 378-97-12; +375 17 219-26-26; +375 17 378-66-34; +375 17 355-82-51; +375 17 325-80-32; +375 17 398-82-22; +375 17 219-26-81; +375 17 358-87-15; +375 17 288-87-77,office@keramin.com; office@keramin.by; foreign_dept@keramin.com,,B,собран
МАПИД,Девелопмент / строительство,mapid.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Астрейко Л.И.,+375 17 209-87-00; +375 29 151-87-00; +375 17 209-87-32; +375 17 209-87-52; +375 17 209-87-25; +375 17 213-58-32,mail@mapid.by,,B,собран
Минский домостроительный комбинат,Девелопмент / строительство,minskdsk.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Громыко В.Н.,+375 17 358-99-47; +375 17 395-48-60; +375 17 364-29-45; +375 17 395-24-07; +375 17 373-96-24; +375 17 375-54-14; +375 17 374-29-18,info@minskdsk.by,,B,собран
Брестжилстрой,Девелопмент / строительство,dsk-brest.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Романюк А.И.,+375 162 40-63-55; +375 162 40-63-48; +375 29 590-29-50; +375 162 52-82-83; +375 162 51-31-38,dsk@brest.by; export@dsk-brest.by,,B,собран
Минскстрой,Девелопмент / строительство,minskstroy.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Терехов А.А.,+375 17 327-78-70; +375 17 327-77-61; +375 17 327-33-83; +375 17 327-52-36; +375 17 327-23-01; +375 29 195-18-21,office@minskstroy.by,,B,собран
Минскпромстрой,Девелопмент / строительство,minskpromstroy.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Дашкевич О.В.,+375 17 373-85-73; +375 29 370-47-13; +375 17 395-15-86; +375 17 395-52-69; +375 17 374-40-26; +375 17 364-45-93; +375 17 373-65-84,info@minskpromstroy.by,,B,собран
А-100 Девелопмент,Девелопмент / строительство,a-100development.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Ястребова А.,+375 17 233-33-33; +375 29 623-33-33; +375 29 773-30-33; +375 29 300-00-00,marketing.dev@a-100.by; a-100@a-100.by,,B,собран
Dana Holdings,Девелопмент / строительство,dana-holdings.com,Коммерческий директор / директор по маркетингу,Управляющий директор группы — Аль Тобги М.; Председатель совета директоров — Мулич В.,+375 17 269-32-90; +375 17 393-94-65; +375 800 1100 06 06,,,B,частично
Svitland Development,Девелопмент / строительство,svitland.com,Коммерческий директор / директор по маркетингу,Генеральный директор — Фридман И.,+375 44 766-63-33,office.minsk@svitland.com,,B,собран
NVV Group,Девелопмент / строительство,nvv-group.by,Коммерческий директор / директор по маркетингу,,+375 17 289-55-45; +375 17 289-55-10; +375 29 692-48-16; +375 33 601-64-23,,,B,частично
